Assuming rdf:type as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 70771 facts in 0.48 s using -100 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  carcinogenesis#drosophila_slrl  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.056603774	0.6	1	9	15	9	?a
?a  carcinogenesis#amesTestPositive  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.459119497	0.308016878	0.634782609	73	237	115	?a
?a  carcinogenesis#drosophila_rt  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.050314465	0.363636364	0.470588235	8	22	17	?a
?a  carcinogenesis#salmonella_n  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.081761006	0.270833333	0.565217391	13	48	23	?a
?a  carcinogenesis#chromaberr  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.062893082	0.294117647	0.37037037	10	34	27	?a
?a  carcinogenesis#cytogen_sce  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.477987421	0.397905759	0.76	76	191	100	?a
?a  carcinogenesis#chromex  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.056603774	0.346153846	0.529411765	9	26	17	?a
?a  carcinogenesis#cytogen_ca  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.433962264	0.331730769	0.650943396	69	208	106	?a
?a  carcinogenesis#salmonella  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.433962264	0.291139241	0.594827586	69	237	116	?a
?a  carcinogenesis#isMutagenic  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.264150943	0.169354839	0.352941176	42	248	119	?a
?a  carcinogenesis#salmonella  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.528846154	0.464135021	0.709677419	110	237	155	?a
?a  carcinogenesis#amesTestPositive  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.432692308	0.379746835	0.633802817	90	237	142	?a
?a  carcinogenesis#isMutagenic  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.293269231	0.245967742	0.40397351	61	248	151	?a
?a  carcinogenesis#drosophila_rt  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.033653846	0.318181818	0.388888889	7	22	18	?a
?a  carcinogenesis#drosophila_slrl  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.038461538	0.533333333	0.666666667	8	15	12	?a
?a  carcinogenesis#chromex  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.019230769	0.153846154	0.307692308	4	26	13	?a
?a  carcinogenesis#salmonella_n  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.105769231	0.458333333	0.814814815	22	48	27	?a
?a  carcinogenesis#chromaberr  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.048076923	0.294117647	0.526315789	10	34	19	?a
?a  carcinogenesis#cytogen_sce  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.471153846	0.513089005	0.731343284	98	191	134	?a
?a  carcinogenesis#mouse_lymph  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.331730769	0.433962264	0.650943396	69	159	106	?a
?a  carcinogenesis#salmonella_n  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.064516129	0.333333333	0.484848485	16	48	33	?a
?a  carcinogenesis#chromaberr  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.056451613	0.411764706	0.5	14	34	28	?a
?a  carcinogenesis#chromex  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.040322581	0.384615385	0.476190476	10	26	21	?a
?a  carcinogenesis#micronuc_m  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.024193548	0.6	0.6	6	10	10	?a
?a  carcinogenesis#drosophila_rt  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.036290323	0.409090909	0.529411765	9	22	17	?a
?a  carcinogenesis#drosophila_slrl  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.02016129	0.333333333	0.416666667	5	15	12	?a
?a  carcinogenesis#micronuc_f  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.016129032	0.571428571	0.666666667	4	7	6	?a
?a  carcinogenesis#cytogen_sce  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.245967742	0.319371728	0.429577465	61	191	142	?a
?a  carcinogenesis#cytogen_ca  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.245967742	0.293269231	0.40397351	61	208	151	?a
?a  carcinogenesis#mouse_lymph  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.169354839	0.264150943	0.352941176	42	159	119	?a
?a  carcinogenesis#salmonella  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.318548387	0.333333333	0.451428571	79	237	175	?a
