Assuming rdf:type as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 4234072 facts in 33.33 s using 6539 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound  ?b   => ?a  DGIDB::ALLOSTERIC MODULATOR::Gene:Compound  ?b	0.041493776	0.022321429	0.135135135	10	448	74	?b
?a  DGIDB::INHIBITOR::Gene:Compound  ?b   => ?a  DGIDB::ALLOSTERIC MODULATOR::Gene:Compound  ?b	0.037344398	0.002078522	0.204545455	9	4330	44	?b
?a  DGIDB::OTHER::Gene:Compound  ?b   => ?a  DGIDB::ANTIBODY::Gene:Compound  ?b	0.392307692	0.006432085	0.356643357	51	7929	143	?b
?a  DGIDB::ANTAGONIST::Gene:Compound  ?b   => ?a  DGIDB::ANTIBODY::Gene:Compound  ?b	0.107692308	0.006451613	0.823529412	14	2170	17	?b
?a  DGIDB::AGONIST::Gene:Compound  ?b   => ?a  DGIDB::ANTIBODY::Gene:Compound  ?b	0.038461538	0.002291476	0.714285714	5	2182	7	?b
?b  DRUGBANK::target::Compound:Gene  ?a   => ?a  DGIDB::ANTIBODY::Gene:Compound  ?b	0.169230769	0.001530222	0.189655172	22	14377	116	?b
?a  DGIDB::INHIBITOR::Gene:Compound  ?b   => ?a  DGIDB::ANTIBODY::Gene:Compound  ?b	0.261538462	0.007852194	0.596491228	34	4330	57	?b
?a  GNBR::Z::Compound:Gene  ?b   => ?a  GNBR::O::Compound:Gene  ?b	0.01954478	0.038072289	0.147663551	79	2075	535	?b
?a  GNBR::B::Compound:Gene  ?b   => ?a  GNBR::O::Compound:Gene  ?b	0.052696685	0.0417238	0.132298137	213	5105	1610	?b
?b  Hetionet::CbG::Compound:Gene  ?a   => ?a  DGIDB::INHIBITOR::Gene:Compound  ?b	0.082909931	0.042778837	0.120916133	359	8392	2969	?b
?a  DGIDB::OTHER::Gene:Compound  ?b   => ?a  DGIDB::INHIBITOR::Gene:Compound  ?b	0.151039261	0.082482028	0.205079962	654	7929	3189	?b
?b  bioarx::DrugHumGen:Compound:Gene  ?a   => ?a  DGIDB::INHIBITOR::Gene:Compound  ?b	0.152655889	0.036604275	0.176785237	661	18058	3739	?b
?b  GNBR::N::Compound:Gene  ?a   => ?a  DGIDB::INHIBITOR::Gene:Compound  ?b	0.039491917	0.018426724	0.104523227	171	9280	1636	?b
?b  DRUGBANK::target::Compound:Gene  ?a   => ?a  DGIDB::INHIBITOR::Gene:Compound  ?b	0.111316397	0.03352577	0.226078799	482	14377	2132	?b
?b  INTACT::COLOCALIZATION::Gene:Gene  ?a   => ?a  INTACT::COLOCALIZATION::Gene:Gene  ?b	0.320702034	0.320702034	0.420502092	804	2507	1912	?b
?a  INTACT::PHOSPHORYLATION REACTION::Gene:Gene  ?b   => ?a  INTACT::COLOCALIZATION::Gene:Gene  ?b	0.018747507	0.049009385	0.109813084	47	959	428	?b
?a  INTACT::DIRECT INTERACTION::Gene:Gene  ?b   => ?a  INTACT::COLOCALIZATION::Gene:Gene  ?b	0.084962106	0.042329094	0.112282551	213	5032	1897	?b
?b  GNBR::Rg::Gene:Gene  ?a   => ?a  GNBR::Rg::Gene:Gene  ?b	0.718847062	0.718847062	0.801718165	5786	8049	7217	?b
?b  GNBR::E::Gene:Gene  ?a   => ?a  GNBR::E::Gene:Gene  ?b	0.316498316	0.316498316	0.701492537	94	297	134	?a
?a  Hetionet::CbG::Compound:Gene  ?b   => ?a  INTACT::ASSOCIATION::Compound:Gene  ?b	0.050925926	0.006553861	0.141388175	55	8392	389	?b
?a  INTACT::PHYSICAL ASSOCIATION::Compound:Gene  ?b   => ?a  INTACT::ASSOCIATION::Compound:Gene  ?b	0.018518519	0.129032258	0.487804878	20	155	41	?b
?a  DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound  ?b   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.014125363	0.25	0.413284133	112	448	271	?b
?a  DGIDB::AGONIST::Gene:Compound  ?b   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.031782066	0.115490376	0.378947368	252	2182	665	?b
?a  DGIDB::ANTAGONIST::Gene:Compound  ?b   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.03291714	0.120276498	0.368644068	261	2170	708	?b
?a  DGIDB::INHIBITOR::Gene:Compound  ?b   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.082482028	0.151039261	0.285215874	654	4330	2293	?b
?b  DRUGBANK::target::Compound:Gene  ?a   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.165720772	0.09139598	0.30686595	1314	14377	4282	?b
?b  bioarx::DrugHumGen:Compound:Gene  ?a   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.153613318	0.06744933	0.183655006	1218	18058	6632	?b
?b  Hetionet::CbG::Compound:Gene  ?a   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.155252869	0.146687321	0.191476124	1231	8392	6429	?b
?b  GNBR::E::Gene:Gene  ?a   => ?a  GNBR::E+::Gene:Gene  ?b	0.013134404	0.346801347	0.453744493	103	297	227	?b
?b  GNBR::V+::Gene:Gene  ?a   => ?a  GNBR::E+::Gene:Gene  ?b	0.046161693	0.056855662	0.10675317	362	6367	3391	?b
?b  GNBR::B::Gene:Gene  ?a   => ?a  GNBR::E+::Gene:Gene  ?b	0.101632237	0.134537475	0.244253754	797	5924	3263	?b
?b  GNBR::E+::Gene:Gene  ?a   => ?a  GNBR::E+::Gene:Gene  ?b	0.499872482	0.499872482	0.590450369	3920	7842	6639	?b
?b  GNBR::E+::Gene:Gene  ?a   => ?a  GNBR::B::Gene:Gene  ?b	0.134537475	0.101632237	0.163958033	797	7842	4861	?a
?b  GNBR::B::Gene:Gene  ?a   => ?a  GNBR::B::Gene:Gene  ?b	0.54895341	0.54895341	0.69591269	3252	5924	4673	?a
?a  GNBR::N::Compound:Gene  ?b   => ?a  GNBR::A-::Compound:Gene  ?b	0.25030525	0.022090517	0.16721044	205	9280	1226	?a
?b  DGIDB::ANTAGONIST::Gene:Compound  ?a   => ?a  GNBR::A-::Compound:Gene  ?b	0.041514042	0.015668203	0.149779736	34	2170	227	?a
?b  DGIDB::AGONIST::Gene:Compound  ?a   => ?a  GNBR::A+::Compound:Gene  ?b	0.032114184	0.016498625	0.172248804	36	2182	209	?a
?b  GNBR::Q::Gene:Gene  ?a   => ?a  GNBR::Q::Gene:Gene  ?b	0.69097447	0.69097447	0.730313165	9608	13905	13156	?a
?b  GNBR::I::Gene:Gene  ?a   => ?a  GNBR::I::Gene:Gene  ?b	0.685082873	0.685082873	0.795103468	2728	3982	3431	?a
?b  GNBR::V+::Gene:Gene  ?a   => ?a  GNBR::V+::Gene:Gene  ?b	0.583948484	0.583948484	0.672332731	3718	6367	5530	?a
?b  INTACT::PHOSPHORYLATION REACTION::Gene:Gene  ?a   => ?a  INTACT::PHOSPHORYLATION REACTION::Gene:Gene  ?b	0.231491137	0.231491137	0.341538462	222	959	650	?b
?a  INTACT::COLOCALIZATION::Gene:Gene  ?b   => ?a  INTACT::PHOSPHORYLATION REACTION::Gene:Gene  ?b	0.049009385	0.018747507	0.1175	47	2507	400	?b
?a  GNBR::E::Compound:Gene  ?b   => ?a  GNBR::K::Compound:Gene  ?b	0.460011217	0.173440474	0.22899101	4101	23645	17909	?b
?b  DGIDB::BINDER::Gene:Compound  ?a   => ?a  DRUGBANK::carrier::Compound:Gene  ?b	0.013307985	0.07	0.583333333	7	100	12	?a
?a  INTACT::ASSOCIATION::Compound:Gene  ?b   => ?a  INTACT::DIRECT INTERACTION::Compound:Gene  ?b	0.032786885	0.003703704	0.142857143	4	1080	28	?b
?a  INTACT::PHYSICAL ASSOCIATION::Compound:Gene  ?b   => ?a  INTACT::DIRECT INTERACTION::Compound:Gene  ?b	0.098360656	0.077419355	0.631578947	12	155	19	?b
?b  INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene  ?a   => ?a  INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene  ?b	0.138248848	0.138248848	0.159574468	30	217	188	?a
?b  DGIDB::ANTAGONIST::Gene:Compound  ?a   => ?a  DRUGBANK::target::Compound:Gene  ?b	0.020727551	0.137327189	0.407660739	298	2170	731	?a
?b  DGIDB::AGONIST::Gene:Compound  ?a   => ?a  DRUGBANK::target::Compound:Gene  ?b	0.023579328	0.155362053	0.423220974	339	2182	801	?a
?b  DGIDB::OTHER::Gene:Compound  ?a   => ?a  DRUGBANK::target::Compound:Gene  ?b	0.09139598	0.165720772	0.256390244	1314	7929	5125	?a
?b  DGIDB::INHIBITOR::Gene:Compound  ?a   => ?a  DRUGBANK::target::Compound:Gene  ?b	0.03352577	0.111316397	0.306420852	482	4330	1573	?a
?a  Hetionet::CbG::Compound:Gene  ?b   => ?a  DRUGBANK::target::Compound:Gene  ?b	0.159143076	0.27264061	0.290983085	2288	8392	7863	?a
?a  bioarx::DrugHumGen:Compound:Gene  ?b   => ?a  DRUGBANK::target::Compound:Gene  ?b	0.323850595	0.257835862	0.409714889	4656	18058	11364	?a
?b  DGIDB::INHIBITOR::Gene:Compound  ?a   => ?a  GNBR::N::Compound:Gene  ?b	0.018426724	0.039491917	0.185265439	171	4330	923	?a
?a  GNBR::A-::Compound:Gene  ?b   => ?a  GNBR::N::Compound:Gene  ?b	0.022090517	0.25030525	0.386792453	205	819	530	?a
?a  GNBR::E-::Compound:Gene  ?b   => ?a  GNBR::N::Compound:Gene  ?b	0.056896552	0.247654784	0.289791438	528	2132	1822	?a
?a  INTACT::ASSOCIATION::Compound:Gene  ?b   => ?a  INTACT::PHYSICAL ASSOCIATION::Compound:Gene  ?b	0.129032258	0.018518519	0.307692308	20	1080	65	?b
?a  INTACT::DIRECT INTERACTION::Compound:Gene  ?b   => ?a  INTACT::PHYSICAL ASSOCIATION::Compound:Gene  ?b	0.077419355	0.098360656	0.461538462	12	122	26	?b
?a  GNBR::O::Compound:Gene  ?b   => ?a  GNBR::Z::Compound:Gene  ?b	0.038072289	0.01954478	0.131447587	79	4042	601	?b
