Assuming rdf:type as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 4192002 facts in 26.74 s using 3990 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  DRUG_INHIBITION_GENE  ?b   => ?a  DRUG_BINDINH_GENE  ?b	0.206297503	0.025573726	0.232273839	380	14859	1636	?a
?b  GENE_PTMOD_GENE  ?a   => ?a  GENE_PTMOD_GENE  ?b	1	1	1	4142	4142	4142	?a
?a  DRUG_BINDACT_GENE  ?b   => ?a  DRUG_ACTIVATION_GENE  ?b	0.018045625	0.189624329	0.418972332	212	1118	506	?a
?b  GENE_DRUG  ?a   => ?a  DRUG_ACTIVATION_GENE  ?b	0.896918624	0.064564951	0.174856043	10537	163200	60261	?a
?b  GENE_INHIBITION_GENE  ?a   => ?a  GENE_INHIBITION_GENE  ?b	0.442084519	0.442084519	0.653821244	4038	9134	6176	?b
?a  GENE_ACTIVATION_GENE  ?b   => ?a  GENE_INHIBITION_GENE  ?b	0.093168382	0.034105483	0.12568306	851	24952	6771	?b
?a  DRUG_CATALYSIS_GENE  ?b   => ?a  DRUG_REACTION_GENE  ?b	0.110879465	0.08846962	0.457550374	2021	22844	4417	?b
?b  GENE_DRUG  ?a   => ?a  DRUG_REACTION_GENE  ?b	0.902123224	0.100753676	0.211681557	16443	163200	77678	?b
?a  DRUG_REACTION_GENE  ?b   => ?a  DRUG_CATALYSIS_GENE  ?b	0.08846962	0.110879465	0.280421812	2021	18227	7207	?b
?a  DRUG_BINDINH_GENE  ?b   => ?a  DRUG_CATALYSIS_GENE  ?b	0.011950622	0.148208469	0.15872093	273	1842	1720	?b
?a  DRUG_ACTIVATION_GENE  ?b   => ?a  DRUG_CATALYSIS_GENE  ?b	0.032306076	0.062819203	0.102315264	738	11748	7213	?b
?a  DRUG_INHIBITION_GENE  ?b   => ?a  DRUG_CATALYSIS_GENE  ?b	0.066450709	0.102160307	0.134383853	1518	14859	11296	?b
?b  GENE_DRUG  ?a   => ?a  DRUG_CATALYSIS_GENE  ?b	0.90255647	0.126335784	0.170554563	20618	163200	120888	?b
?a  DRUG_ACTIVATION_GENE  ?b   => ?a  DRUG_BINDACT_GENE  ?b	0.189624329	0.018045625	0.12514758	212	11748	1694	?a
?b  GENE_ACTIVATION_GENE  ?a   => ?a  GENE_ACTIVATION_GENE  ?b	0.330634819	0.330634819	0.50452544	8250	24952	16352	?b
?a  GENE_INHIBITION_GENE  ?b   => ?a  GENE_ACTIVATION_GENE  ?b	0.034105483	0.093168382	0.213872832	851	9134	3979	?b
?a  DRUG_CATALYSIS_GENE  ?b   => ?a  DRUG_INHIBITION_GENE  ?b	0.102160307	0.066450709	0.119763314	1518	22844	12675	?a
?a  DRUG_BINDINH_GENE  ?b   => ?a  DRUG_INHIBITION_GENE  ?b	0.025573726	0.206297503	0.402969247	380	1842	943	?a
?b  GENE_DRUG  ?a   => ?a  DRUG_INHIBITION_GENE  ?b	0.8971667	0.081685049	0.206451713	13331	163200	64572	?a
?a  DRUG_REACTION_GENE  ?b   => ?a  DRUG_BINDING_GENE  ?b	0.016283377	0.144236572	0.148087647	2629	18227	17753	?a
