Assuming rdf:type as type relation
Loading files... 
  Starting train_completed_TransE.txt
  Finished train_completed_TransE.txt, still running: 0
Loaded 75642 facts in 0.56 s using -104 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  carcinogenesis#isMutagenic  ?b   => ?a  carcinogenesis#salmonella  ?b	0.329113924	0.315789474	0.461538462	78	247	169	?a
?a  carcinogenesis#salmonella_n  ?b   => ?a  carcinogenesis#salmonella  ?b	0.122362869	0.591836735	0.90625	29	49	32	?a
?a  carcinogenesis#drosophila_slrl  ?b   => ?a  carcinogenesis#salmonella  ?b	0.025316456	0.428571429	0.857142857	6	14	7	?a
?a  carcinogenesis#drosophila_rt  ?b   => ?a  carcinogenesis#salmonella  ?b	0.025316456	0.285714286	0.5	6	21	12	?a
?a  carcinogenesis#chromaberr  ?b   => ?a  carcinogenesis#salmonella  ?b	0.071729958	0.472222222	0.607142857	17	36	28	?a
?a  carcinogenesis#chromex  ?b   => ?a  carcinogenesis#salmonella  ?b	0.037974684	0.333333333	0.5625	9	27	16	?a
?a  carcinogenesis#micronuc_f  ?b   => ?a  carcinogenesis#salmonella  ?b	0.016877637	0.444444444	0.666666667	4	9	6	?a
?a  carcinogenesis#micronuc_m  ?b   => ?a  carcinogenesis#salmonella  ?b	0.012658228	0.3	0.428571429	3	10	7	?a
?a  carcinogenesis#inBond  ?b   => ?a  owl#disjointWith  ?b	0.963235294	0.009171743	0.509727626	131	14283	257	?b
?a  carcinogenesis#mouse_lymph  ?b   => ?a  carcinogenesis#salmonella  ?b	0.261603376	0.4	0.553571429	62	155	112	?a
?a  carcinogenesis#cytogen_sce  ?b   => ?a  carcinogenesis#salmonella  ?b	0.371308017	0.451282051	0.611111111	88	195	144	?a
?a  carcinogenesis#amesTestPositive  ?b   => ?a  carcinogenesis#salmonella  ?b	0.662447257	0.673819742	0.957317073	157	233	164	?a
?a  carcinogenesis#cytogen_ca  ?b   => ?a  carcinogenesis#salmonella  ?b	0.464135021	0.509259259	0.700636943	110	216	157	?a
?a  carcinogenesis#salmonella  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.4	0.261603376	0.553571429	62	237	112	?a
?a  carcinogenesis#drosophila_slrl  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.058064516	0.642857143	1	9	14	9	?a
?a  carcinogenesis#cytogen_sce  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.477419355	0.379487179	0.74	74	195	100	?a
?a  carcinogenesis#chromex  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.064516129	0.37037037	0.434782609	10	27	23	?a
?a  carcinogenesis#salmonella_reduc  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.012903226	1	1	2	2	2	?a
?a  carcinogenesis#salmonella_n  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.090322581	0.285714286	0.56	14	49	25	?a
?a  carcinogenesis#drosophila_rt  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.04516129	0.333333333	0.5	7	21	14	?a
?a  carcinogenesis#chromaberr  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.058064516	0.25	0.333333333	9	36	27	?a
?a  carcinogenesis#isMutagenic  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.251612903	0.157894737	0.342105263	39	247	114	?a
?a  carcinogenesis#cytogen_ca  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.425806452	0.305555556	0.640776699	66	216	103	?a
?a  carcinogenesis#amesTestPositive  ?b   => ?a  carcinogenesis#mouse_lymph  ?b	0.393548387	0.261802575	0.554545455	61	233	110	?a
?a  carcinogenesis#salmonella  ?b   => ?a  carcinogenesis#amesTestPositive  ?b	0.673819742	0.662447257	0.957317073	157	237	164	?a
?a  carcinogenesis#isMutagenic  ?b   => ?a  carcinogenesis#amesTestPositive  ?b	0.356223176	0.336032389	0.485380117	83	247	171	?a
?a  carcinogenesis#cytogen_ca  ?b   => ?a  carcinogenesis#amesTestPositive  ?b	0.377682403	0.407407407	0.598639456	88	216	147	?a
?a  carcinogenesis#chromaberr  ?b   => ?a  carcinogenesis#amesTestPositive  ?b	0.072961373	0.472222222	0.586206897	17	36	29	?a
?a  carcinogenesis#chromex  ?b   => ?a  carcinogenesis#amesTestPositive  ?b	0.0472103	0.407407407	0.55	11	27	20	?a
?a  carcinogenesis#drosophila_slrl  ?b   => ?a  carcinogenesis#amesTestPositive  ?b	0.042918455	0.714285714	1	10	14	10	?a
?a  carcinogenesis#cytogen_sce  ?b   => ?a  carcinogenesis#amesTestPositive  ?b	0.321888412	0.384615385	0.581395349	75	195	129	?a
?a  carcinogenesis#drosophila_rt  ?b   => ?a  carcinogenesis#amesTestPositive  ?b	0.034334764	0.380952381	0.533333333	8	21	15	?a
?a  carcinogenesis#micronuc_f  ?b   => ?a  carcinogenesis#amesTestPositive  ?b	0.021459227	0.555555556	0.714285714	5	9	7	?a
?a  carcinogenesis#micronuc_m  ?b   => ?a  carcinogenesis#amesTestPositive  ?b	0.017167382	0.4	0.444444444	4	10	9	?a
?a  carcinogenesis#mouse_lymph  ?b   => ?a  carcinogenesis#amesTestPositive  ?b	0.261802575	0.393548387	0.554545455	61	155	110	?a
?a  carcinogenesis#salmonella_n  ?b   => ?a  carcinogenesis#amesTestPositive  ?b	0.13304721	0.632653061	0.96875	31	49	32	?a
?a  carcinogenesis#amesTestPositive  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.336032389	0.356223176	0.485380117	83	233	171	?a
?a  carcinogenesis#cytogen_ca  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.271255061	0.310185185	0.421383648	67	216	159	?a
?a  carcinogenesis#salmonella  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.315789474	0.329113924	0.461538462	78	237	169	?a
?a  carcinogenesis#mouse_lymph  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.157894737	0.251612903	0.342105263	39	155	114	?a
?a  carcinogenesis#chromaberr  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.056680162	0.388888889	0.482758621	14	36	29	?a
?a  carcinogenesis#salmonella_n  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.052631579	0.265306122	0.371428571	13	49	35	?a
?a  carcinogenesis#drosophila_rt  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.032388664	0.380952381	0.533333333	8	21	15	?a
?a  carcinogenesis#chromex  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.04048583	0.37037037	0.434782609	10	27	23	?a
?a  carcinogenesis#micronuc_f  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.012145749	0.333333333	0.5	3	9	6	?a
?a  carcinogenesis#cytogen_sce  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.234817814	0.297435897	0.4	58	195	145	?a
?a  carcinogenesis#micronuc_m  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.020242915	0.5	0.625	5	10	8	?a
?a  carcinogenesis#drosophila_slrl  ?b   => ?a  carcinogenesis#isMutagenic  ?b	0.020242915	0.357142857	0.454545455	5	14	11	?a
?a  carcinogenesis#salmonella  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.509259259	0.464135021	0.700636943	110	237	157	?a
?a  carcinogenesis#cytogen_sce  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.458333333	0.507692308	0.722627737	99	195	137	?a
?a  carcinogenesis#isMutagenic  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.310185185	0.271255061	0.421383648	67	247	159	?a
?a  carcinogenesis#amesTestPositive  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.407407407	0.377682403	0.598639456	88	233	147	?a
?a  carcinogenesis#salmonella_n  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.101851852	0.448979592	0.814814815	22	49	27	?a
?a  carcinogenesis#mouse_lymph  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.305555556	0.425806452	0.640776699	66	155	103	?a
?a  carcinogenesis#drosophila_rt  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.041666667	0.428571429	0.5	9	21	18	?a
?a  carcinogenesis#chromaberr  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.046296296	0.277777778	0.476190476	10	36	21	?a
?a  carcinogenesis#drosophila_slrl  ?b   => ?a  carcinogenesis#cytogen_ca  ?b	0.027777778	0.428571429	0.545454545	6	14	11	?a
?a  carcinogenesis#cytogen_ca  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.507692308	0.458333333	0.722627737	99	216	137	?a
?a  carcinogenesis#salmonella  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.451282051	0.371308017	0.611111111	88	237	144	?a
?a  carcinogenesis#amesTestPositive  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.384615385	0.321888412	0.581395349	75	233	129	?a
?a  carcinogenesis#mouse_lymph  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.379487179	0.477419355	0.74	74	155	100	?a
?a  carcinogenesis#salmonella_n  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.112820513	0.448979592	0.75862069	22	49	29	?a
?a  carcinogenesis#drosophila_slrl  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.035897436	0.5	0.875	7	14	8	?a
?a  carcinogenesis#chromex  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.046153846	0.333333333	0.473684211	9	27	19	?a
?a  carcinogenesis#drosophila_rt  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.025641026	0.238095238	0.5	5	21	10	?a
?a  carcinogenesis#micronuc_m  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.015384615	0.3	0.6	3	10	5	?a
?a  carcinogenesis#chromaberr  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.056410256	0.305555556	0.5	11	36	22	?a
?a  carcinogenesis#isMutagenic  ?b   => ?a  carcinogenesis#cytogen_sce  ?b	0.297435897	0.234817814	0.4	58	247	145	?a
