Assuming rdf:type as type relation
Loading files... 
  Starting train_completed_TransE.txt
  Finished train_completed_TransE.txt, still running: 0
Loaded 4242902 facts in 36.40 s using 7727 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  DGIDB::ALLOSTERIC_MODULATOR::Gene:Compound  ?b   => ?a  DGIDB::MODULATOR::Gene:Compound  ?b	0.010638298	0.007936508	0.4	2	252	5	?b
?a  DGIDB::INHIBITOR::Gene:Compound  ?b   => ?a  DGIDB::MODULATOR::Gene:Compound  ?b	0.015957447	0.000477935	0.272727273	3	6277	11	?b
?a  DGIDB::ANTAGONIST::Gene:Compound  ?b   => ?a  DGIDB::MODULATOR::Gene:Compound  ?b	0.021276596	0.001718213	0.4	4	2328	10	?b
?a  DGIDB::AGONIST::Gene:Compound  ?b   => ?a  DGIDB::MODULATOR::Gene:Compound  ?b	0.021276596	0.001722653	0.266666667	4	2322	15	?b
?a  DGIDB::OTHER::Gene:Compound  ?b   => ?a  DGIDB::MODULATOR::Gene:Compound  ?b	0.090425532	0.002121288	0.2125	17	8014	80	?b
?b  DRUGBANK::target::Compound:Gene  ?a   => ?a  DGIDB::MODULATOR::Gene:Compound  ?b	0.079787234	0.001017639	0.416666667	15	14740	36	?b
?b  bioarx::DrugHumGen:Compound:Gene  ?a   => ?a  DGIDB::MODULATOR::Gene:Compound  ?b	0.074468085	0.000778946	0.16091954	14	17973	87	?b
?b  DGIDB::BINDER::Gene:Compound  ?a   => ?a  DRUGBANK::carrier::Compound:Gene  ?b	0.017013233	0.081818182	0.6	9	110	15	?a
?a  Hetionet::CpD::Compound:Disease  ?b   => ?a  Hetionet::CtD::Compound:Disease  ?b	0.037542662	0.074074074	0.258823529	22	297	85	?a
?a  GNBR::Pr::Compound:Disease  ?b   => ?a  GNBR::C::Compound:Disease  ?b	0.153796236	0.233497537	0.546082949	237	1015	434	?a
?a  GNBR::Pa::Compound:Disease  ?b   => ?a  GNBR::C::Compound:Disease  ?b	0.154445165	0.106297454	0.26832018	238	2239	887	?a
?a  DRUGBANK::treats::Compound:Disease  ?b   => ?a  GNBR::C::Compound:Disease  ?b	0.154445165	0.060314242	0.345930233	238	3946	688	?a
?a  INTACT::PHYSICAL_ASSOCIATION::Compound:Gene  ?b   => ?a  INTACT::ASSOCIATION::Compound:Gene  ?b	0.012416428	0.090277778	0.448275862	13	144	29	?b
?a  Hetionet::CbG::Compound:Gene  ?b   => ?a  INTACT::ASSOCIATION::Compound:Gene  ?b	0.044890162	0.005661286	0.105145414	47	8302	447	?b
?b  INTACT::PHOSPHORYLATION_REACTION::Gene:Gene  ?a   => ?a  INTACT::PHOSPHORYLATION_REACTION::Gene:Gene  ?b	0.210359408	0.210359408	0.308527132	199	946	645	?b
?b  DRUGBANK::target::Compound:Gene  ?a   => ?a  DGIDB::ANTIBODY::Gene:Compound  ?b	0.178807947	0.00183175	0.209302326	27	14740	129	?b
?a  DGIDB::AGONIST::Gene:Compound  ?b   => ?a  DGIDB::ANTIBODY::Gene:Compound  ?b	0.026490066	0.001722653	0.666666667	4	2322	6	?b
?a  DGIDB::OTHER::Gene:Compound  ?b   => ?a  DGIDB::ANTIBODY::Gene:Compound  ?b	0.337748344	0.006363863	0.271276596	51	8014	188	?b
?a  DGIDB::ANTAGONIST::Gene:Compound  ?b   => ?a  DGIDB::ANTIBODY::Gene:Compound  ?b	0.079470199	0.005154639	0.631578947	12	2328	19	?b
?a  DGIDB::INHIBITOR::Gene:Compound  ?b   => ?a  DGIDB::ANTIBODY::Gene:Compound  ?b	0.245033113	0.005894536	0.544117647	37	6277	68	?b
?a  Hetionet::CtD::Compound:Disease  ?b   => ?a  Hetionet::CpD::Compound:Disease  ?b	0.074074074	0.037542662	0.183333333	22	586	120	?a
?a  GNBR::O::Compound:Gene  ?b   => ?a  GNBR::Z::Compound:Gene  ?b	0.03435639	0.017539757	0.119426752	75	4276	628	?b
?a  bioarx::DrugHumGen:Compound:Gene  ?b   => ?a  DRUGBANK::enzyme::Compound:Gene  ?b	0.408450704	0.079063039	0.221029709	1421	17973	6429	?a
?a  Hetionet::CbG::Compound:Gene  ?b   => ?a  DRUGBANK::enzyme::Compound:Gene  ?b	0.387755102	0.162490966	0.223788985	1349	8302	6028	?a
?a  GNBR::B::Compound:Gene  ?b   => ?a  GNBR::O::Compound:Gene  ?b	0.054022451	0.043307087	0.150097466	231	5334	1539	?b
?a  GNBR::Z::Compound:Gene  ?b   => ?a  GNBR::O::Compound:Gene  ?b	0.017539757	0.03435639	0.147928994	75	2183	507	?b
?b  INTACT::COLOCALIZATION::Gene:Gene  ?a   => ?a  INTACT::COLOCALIZATION::Gene:Gene  ?b	0.327165354	0.327165354	0.436678928	831	2540	1903	?b
?a  INTACT::DIRECT_INTERACTION::Gene:Gene  ?b   => ?a  INTACT::COLOCALIZATION::Gene:Gene  ?b	0.081496063	0.041649899	0.108433735	207	4970	1909	?b
?a  GNBR::C::Compound:Disease  ?b   => ?a  DRUGBANK::treats::Compound:Disease  ?b	0.060314242	0.154445165	0.670422535	238	1541	355	?a
?a  GNBR::Pr::Compound:Disease  ?b   => ?a  DRUGBANK::treats::Compound:Disease  ?b	0.070197669	0.272906404	0.604803493	277	1015	458	?a
?a  GNBR::Pa::Compound:Disease  ?b   => ?a  DRUGBANK::treats::Compound:Disease  ?b	0.065889508	0.116123269	0.424836601	260	2239	612	?a
?b  INTACT::DIRECT_INTERACTION::Gene:Gene  ?a   => ?a  INTACT::DIRECT_INTERACTION::Gene:Gene  ?b	0.36056338	0.36056338	0.448448448	1792	4970	3996	?a
?b  INTACT::COLOCALIZATION::Gene:Gene  ?a   => ?a  INTACT::DIRECT_INTERACTION::Gene:Gene  ?b	0.031589537	0.061811024	0.123817035	157	2540	1268	?a
?a  INTACT::PHOSPHORYLATION_REACTION::Gene:Gene  ?b   => ?a  INTACT::DIRECT_INTERACTION::Gene:Gene  ?b	0.01167002	0.061310782	0.115079365	58	946	504	?a
?a  INTACT::COLOCALIZATION::Gene:Gene  ?b   => ?a  INTACT::DIRECT_INTERACTION::Gene:Gene  ?b	0.041649899	0.081496063	0.155873494	207	2540	1328	?a
?a  DGIDB::ANTAGONIST::Gene:Compound  ?b   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.032817569	0.112972509	0.369901547	263	2328	711	?b
?a  DGIDB::POSITIVE_ALLOSTERIC_MODULATOR::Gene:Compound  ?b   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.014973796	0.268456376	0.415224913	120	447	289	?b
?b  Hetionet::CbG::Compound:Gene  ?a   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.153481408	0.148157071	0.195300095	1230	8302	6298	?b
?b  bioarx::DrugHumGen:Compound:Gene  ?a   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.162465685	0.072441996	0.195612981	1302	17973	6656	?b
?a  DGIDB::AGONIST::Gene:Compound  ?b   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.031195408	0.107665805	0.374251497	250	2322	668	?b
?a  DGIDB::INHIBITOR::Gene:Compound  ?b   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.083229349	0.106260953	0.277108434	667	6277	2407	?b
?b  DRUGBANK::target::Compound:Gene  ?a   => ?a  DGIDB::OTHER::Gene:Compound  ?b	0.16970302	0.092265943	0.321057602	1360	14740	4236	?b
?b  GNBR::W::Gene:Gene  ?a   => ?a  GNBR::W::Gene:Gene  ?b	0.670050761	0.670050761	0.923076923	132	197	143	?b
?b  GNBR::Rg::Gene:Gene  ?a   => ?a  GNBR::Rg::Gene:Gene  ?b	0.741116751	0.741116751	0.808118081	6132	8274	7588	?b
?a  GNBR::Z::Compound:Gene  ?b   => ?a  GNBR::B::Compound:Gene  ?b	0.014248219	0.034814475	0.133099825	76	2183	571	?b
?a  GNBR::O::Compound:Gene  ?b   => ?a  GNBR::B::Compound:Gene  ?b	0.043307087	0.054022451	0.184652278	231	4276	1251	?b
