Assuming rdf:type as type relation
Loading files... 
  Starting train_completed_TransE.txt
  Finished train_completed_TransE.txt, still running: 0
Loaded 3427379 facts in 22.58 s using 9119 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  DRUG_ACTIVATION_GENE  ?b   => ?a  DRUG_BINDACT_GENE  ?b	0.849762583	0.318888097	0.809187918	4474	14030	5529	?a
?a  DRUG_REACTION_GENE  ?b   => ?a  DRUG_BINDACT_GENE  ?b	0.82962963	0.231233457	0.517290384	4368	18890	8444	?a
?a  DRUG_BINDING_GENE  ?b   => ?a  DRUG_BINDACT_GENE  ?b	0.945299145	0.033689155	0.309881078	4977	147733	16061	?a
?a  DRUG_BINDINH_GENE  ?b   => ?a  DRUG_BINDACT_GENE  ?b	0.823361823	0.743567753	0.952537904	4335	5830	4551	?a
?a  DRUG_ACTIVATION_GENE  ?b   => ?a  DRUG_BINDINH_GENE  ?b	0.750428816	0.311831789	0.842804855	4375	14030	5191	?a
?a  DRUG_BINDACT_GENE  ?b   => ?a  DRUG_BINDINH_GENE  ?b	0.743567753	0.823361823	0.947126939	4335	5265	4577	?a
?a  DRUG_REACTION_GENE  ?b   => ?a  DRUG_BINDINH_GENE  ?b	0.743396226	0.229433563	0.650165017	4334	18890	6666	?a
?a  DRUG_INHIBITION_GENE  ?b   => ?a  DRUG_BINDINH_GENE  ?b	0.038936535	0.018479323	0.209796673	227	12284	1082	?a
?a  DRUG_BINDING_GENE  ?b   => ?a  DRUG_BINDINH_GENE  ?b	0.927787307	0.03661335	0.278255054	5409	147733	19439	?a
?a  DRUG_BINDINH_GENE  ?b   => ?a  DRUG_ACTIVATION_GENE  ?b	0.311831789	0.750428816	0.915846766	4375	5830	4777	?a
?a  DRUG_BINDACT_GENE  ?b   => ?a  DRUG_ACTIVATION_GENE  ?b	0.318888097	0.849762583	0.947881356	4474	5265	4720	?a
?a  DRUG_REACTION_GENE  ?b   => ?a  DRUG_ACTIVATION_GENE  ?b	0.324305061	0.240868184	0.329662368	4550	18890	13802	?a
?a  DRUG_BINDING_GENE  ?b   => ?a  DRUG_ACTIVATION_GENE  ?b	0.36129722	0.034311901	0.192503418	5069	147733	26332	?a
?b  GENE_DRUG  ?a   => ?a  DRUG_ACTIVATION_GENE  ?b	0.464932288	0.048579408	0.148957548	6523	134275	43791	?a
?a  DRUG_BINDINH_GENE  ?b   => ?a  DRUG_INHIBITION_GENE  ?b	0.018479323	0.038936535	0.196027634	227	5830	1158	?a
?a  DRUG_CATALYSIS_GENE  ?b   => ?a  DRUG_INHIBITION_GENE  ?b	0.078964507	0.05281786	0.104200236	970	18365	9309	?a
?b  GENE_DRUG  ?a   => ?a  DRUG_INHIBITION_GENE  ?b	0.685607294	0.062722026	0.183693945	8422	134275	45848	?a
?a  DRUG_REACTION_GENE  ?b   => ?a  DRUG_CATALYSIS_GENE  ?b	0.071222434	0.069242986	0.212786725	1308	18890	6147	?b
?a  DRUG_INHIBITION_GENE  ?b   => ?a  DRUG_CATALYSIS_GENE  ?b	0.05281786	0.078964507	0.107837688	970	12284	8995	?b
?b  GENE_DRUG  ?a   => ?a  DRUG_CATALYSIS_GENE  ?b	0.666376259	0.091141314	0.125752687	12238	134275	97318	?b
?b  GENE_ACTIVATION_GENE  ?a   => ?a  GENE_ACTIVATION_GENE  ?b	0.214425932	0.214425932	0.332500781	4260	19867	12812	?b
?a  GENE_INHIBITION_GENE  ?b   => ?a  GENE_ACTIVATION_GENE  ?b	0.026778074	0.018984406	0.153757225	532	28023	3460	?b
?a  DRUG_BINDACT_GENE  ?b   => ?a  DRUG_REACTION_GENE  ?b	0.231233457	0.82962963	0.840646651	4368	5265	5196	?b
?b  GENE_DRUG  ?a   => ?a  DRUG_REACTION_GENE  ?b	0.504129169	0.070921616	0.147863487	9523	134275	64404	?b
?a  DRUG_BINDINH_GENE  ?b   => ?a  DRUG_REACTION_GENE  ?b	0.229433563	0.743396226	0.759817672	4334	5830	5704	?b
?a  DRUG_ACTIVATION_GENE  ?b   => ?a  DRUG_REACTION_GENE  ?b	0.240868184	0.324305061	0.5346651	4550	14030	8510	?b
?a  DRUG_CATALYSIS_GENE  ?b   => ?a  DRUG_REACTION_GENE  ?b	0.069242986	0.071222434	0.372755771	1308	18365	3509	?b
?a  GENE_ACTIVATION_GENE  ?b   => ?a  GENE_INHIBITION_GENE  ?b	0.018984406	0.026778074	0.100987092	532	19867	5268	?b
?b  GENE_INHIBITION_GENE  ?a   => ?a  GENE_INHIBITION_GENE  ?b	0.077293652	0.077293652	0.43053071	2166	28023	5031	?b
?a  GENE_PTMOD_GENE  ?b   => ?a  GENE_INHIBITION_GENE  ?b	0.735610035	0.858916667	0.936361572	20614	24000	22015	?b
?a  GENE_BINDING_GENE  ?b   => ?a  GENE_INHIBITION_GENE  ?b	0.813474646	0.109858123	0.327962249	22796	207504	69508	?b
?b  GENE_PTMOD_GENE  ?a   => ?a  GENE_PTMOD_GENE  ?b	0.090583333	0.090583333	0.657791225	2174	24000	3305	?b
?a  GENE_BINDING_GENE  ?b   => ?a  GENE_PTMOD_GENE  ?b	0.876041667	0.101323348	0.533900457	21025	207504	39380	?b
?a  GENE_INHIBITION_GENE  ?b   => ?a  GENE_PTMOD_GENE  ?b	0.858916667	0.735610035	0.92344219	20614	28023	22323	?b
?b  DRUG_REACTION_GENE  ?a   => ?a  GENE_DRUG  ?b	0.070921616	0.504129169	0.523471856	9523	18890	18192	?b
?b  DRUG_CATALYSIS_GENE  ?a   => ?a  GENE_DRUG  ?b	0.091141314	0.666376259	0.668377936	12238	18365	18310	?b
?b  DRUG_ACTIVATION_GENE  ?a   => ?a  GENE_DRUG  ?b	0.048579408	0.464932288	0.493307116	6523	14030	13223	?b
?b  DRUG_INHIBITION_GENE  ?a   => ?a  GENE_DRUG  ?b	0.062722026	0.685607294	0.69586053	8422	12284	12103	?b
?b  DRUG_BINDING_GENE  ?a   => ?a  GENE_DRUG  ?b	0.494097933	0.449087205	0.517354315	66345	147733	128239	?b
?a  DRUG_REACTION_GENE  ?b   => ?a  DRUG_BINDING_GENE  ?b	0.040491969	0.31667549	0.333630786	5982	18890	17930	?a
?a  DRUG_BINDINH_GENE  ?b   => ?a  DRUG_BINDING_GENE  ?b	0.03661335	0.927787307	0.937435009	5409	5830	5770	?a
?a  DRUG_BINDACT_GENE  ?b   => ?a  DRUG_BINDING_GENE  ?b	0.033689155	0.945299145	0.956012294	4977	5265	5206	?a
?a  DRUG_ACTIVATION_GENE  ?b   => ?a  DRUG_BINDING_GENE  ?b	0.034311901	0.36129722	0.484978951	5069	14030	10452	?a
?a  DRUG_INHIBITION_GENE  ?b   => ?a  DRUG_BINDING_GENE  ?b	0.013903461	0.167209378	0.272811794	2054	12284	7529	?a
?a  DRUG_CATALYSIS_GENE  ?b   => ?a  DRUG_BINDING_GENE  ?b	0.018161142	0.146093112	0.202094004	2683	18365	13276	?a
?b  GENE_DRUG  ?a   => ?a  DRUG_BINDING_GENE  ?b	0.449087205	0.494097933	0.591542138	66345	134275	112156	?a
?b  GENE_ACTIVATION_GENE  ?a   => ?a  GENE_BINDING_GENE  ?b	0.027185018	0.283938189	0.337420744	5641	19867	16718	?b
?b  GENE_INHIBITION_GENE  ?a   => ?a  GENE_BINDING_GENE  ?b	0.010539556	0.078043036	0.289822422	2187	28023	7546	?b
?a  GENE_INHIBITION_GENE  ?b   => ?a  GENE_BINDING_GENE  ?b	0.109858123	0.813474646	0.81565765	22796	28023	27948	?b
?b  GENE_CATALYSIS_GENE  ?a   => ?a  GENE_BINDING_GENE  ?b	0.29407144	0.306827838	0.312928205	61021	198877	195000	?b
?a  GENE_PTMOD_GENE  ?b   => ?a  GENE_BINDING_GENE  ?b	0.101323348	0.876041667	0.882032135	21025	24000	23837	?b
?a  GENE_ACTIVATION_GENE  ?b   => ?a  GENE_BINDING_GENE  ?b	0.027228391	0.284391201	0.294669865	5650	19867	19174	?b
?a  GENE_CATALYSIS_GENE  ?b   => ?a  GENE_BINDING_GENE  ?b	0.295420811	0.308235744	0.311305328	61301	198877	196916	?b
?a  GENE_REACTION_GENE  ?b   => ?a  GENE_BINDING_GENE  ?b	0.421466574	0.345486077	0.364757158	87456	253139	239765	?b
?a  GENE_GENE  ?b   => ?a  GENE_BINDING_GENE  ?b	0.556423009	0.221725487	0.252971528	115460	520734	456415	?b
?b  GENE_REACTION_GENE  ?a   => ?a  GENE_BINDING_GENE  ?b	0.421929216	0.345865315	0.364906431	87552	253139	239930	?b
?b  GENE_BINDING_GENE  ?a   => ?a  GENE_BINDING_GENE  ?b	0.583829709	0.583829709	0.647000705	121147	207504	187244	?b
?b  GENE_GENE  ?a   => ?a  GENE_BINDING_GENE  ?b	0.557849487	0.222293916	0.253518967	115756	520734	456597	?b
?b  GENE_ACTIVATION_GENE  ?a   => ?a  GENE_CATALYSIS_GENE  ?b	0.023783545	0.238083254	0.349000221	4730	19867	13553	?a
?b  GENE_INHIBITION_GENE  ?a   => ?a  GENE_CATALYSIS_GENE  ?b	0.013239339	0.093958534	0.363072256	2633	28023	7252	?a
?a  GENE_REACTION_GENE  ?b   => ?a  GENE_CATALYSIS_GENE  ?b	0.578387647	0.454406472	0.537202742	115028	253139	214124	?a
?a  GENE_GENE  ?b   => ?a  GENE_CATALYSIS_GENE  ?b	0.619518597	0.236604485	0.357981719	123208	520734	344174	?a
?a  GENE_ACTIVATION_GENE  ?b   => ?a  GENE_CATALYSIS_GENE  ?b	0.028344152	0.28373685	0.407975682	5637	19867	13817	?a
?a  GENE_INHIBITION_GENE  ?b   => ?a  GENE_CATALYSIS_GENE  ?b	0.014777978	0.104878136	0.471901092	2939	28023	6228	?a
?b  GENE_CATALYSIS_GENE  ?a   => ?a  GENE_CATALYSIS_GENE  ?b	0.550666995	0.550666995	0.566997499	109515	198877	193149	?a
?b  GENE_REACTION_GENE  ?a   => ?a  GENE_CATALYSIS_GENE  ?b	0.579076515	0.454947677	0.537744615	115165	253139	214163	?a
?a  GENE_BINDING_GENE  ?b   => ?a  GENE_CATALYSIS_GENE  ?b	0.308235744	0.295420811	0.423571764	61301	207504	144724	?a
?b  GENE_BINDING_GENE  ?a   => ?a  GENE_CATALYSIS_GENE  ?b	0.306827838	0.29407144	0.421890664	61021	207504	144637	?a
?b  GENE_GENE  ?a   => ?a  GENE_CATALYSIS_GENE  ?b	0.618608487	0.236256899	0.357510876	123027	520734	344121	?a
?b  GENE_ACTIVATION_GENE  ?a   => ?a  GENE_REACTION_GENE  ?b	0.02089761	0.2662707	0.365685055	5290	19867	14466	?a
