Assuming rdf:type as type relation
Loading files... 
  Starting train_completed_TransE.txt
  Finished train_completed_TransE.txt, still running: 0
Loaded 1279868 facts in 7.42 s using 5401 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  dealsWith  ?a   => ?a  dealsWith  ?b	0.085953878	0.085953878	0.104060914	82	954	788	?a
?a  hasNeighbor  ?b   => ?a  dealsWith  ?b	0.096436059	0.225490196	0.26744186	92	408	344	?a
?b  hasNeighbor  ?a   => ?a  dealsWith  ?b	0.091194969	0.213235294	0.252906977	87	408	344	?a
?a  graduatedFrom  ?b   => ?a  worksAt  ?b	0.128277531	0.058348624	0.22569198	318	5450	1409	?a
?a  isPoliticianOf  ?b   => ?a  livesIn  ?b	0.018139535	0.02443609	0.194029851	39	1596	201	?a
?a  isCitizenOf  ?b   => ?a  livesIn  ?b	0.098604651	0.007043891	0.212851406	212	30097	996	?a
?b  hasNeighbor  ?a   => ?a  hasNeighbor  ?b	0.710784314	0.710784314	0.728643216	290	408	398	?b
?b  dealsWith  ?a   => ?a  hasNeighbor  ?b	0.213235294	0.091194969	0.131618759	87	954	661	?b
?a  dealsWith  ?b   => ?a  hasNeighbor  ?b	0.225490196	0.096436059	0.14375	92	954	640	?b
?b  isMarriedTo  ?a   => ?a  isMarriedTo  ?b	0.850714503	0.850714503	0.93018617	2798	3289	3008	?b
?a  imports  ?b   => ?a  exports  ?b	0.118081181	0.110726644	0.133891213	32	289	239	?a
?a  worksAt  ?b   => ?a  graduatedFrom  ?b	0.058348624	0.128277531	0.166317992	318	2479	1912	?a
?a  exports  ?b   => ?a  imports  ?b	0.110726644	0.118081181	0.13559322	32	271	236	?a
?a  participatedIn  ?b   => ?a  isKnownFor  ?b	0.996509278	0.089325121	0.119545094	5424	60722	45372	?b
?a  happenedIn  ?b   => ?a  isKnownFor  ?b	0.997060445	0.085753563	0.118016745	5427	63286	45985	?b
?a  hasCapital  ?b   => ?a  isKnownFor  ?b	0.997060445	0.081209691	0.109377834	5427	66827	49617	?b
?a  owns  ?b   => ?a  isKnownFor  ?b	0.997060445	0.083303913	0.109598724	5427	65147	49517	?b
?a  hasAcademicAdvisor  ?b   => ?a  isKnownFor  ?b	0.997060445	0.082866348	0.109373426	5427	65491	49619	?b
?b  isConnectedTo  ?a   => ?a  isConnectedTo  ?b	0.488031745	0.488031745	0.494937257	11438	23437	23110	?b
?a  directed  ?b   => ?a  created  ?b	0.018862175	0.156273668	0.292118924	619	3961	2119	?b
?a  isLeaderOf  ?b   => ?a  created  ?b	0.762318311	0.959093697	0.987721099	25017	26084	25328	?b
?a  playsFor  ?b   => ?a  created  ?b	0.02136088	0.002908038	0.384109589	701	241056	1825	?b
?a  edited  ?b   => ?a  created  ?b	0.807295	0.91601549	0.952848511	26493	28922	27804	?b
